"cut","clarity","table","x","z"
"Very Good","SI1",56,4.77,3.02
"Very Good","SI1",62,4.71,2.92
"Very Good","SI1",63,4.78,2.89
"Ideal","VS1",57,4.26,2.66
"Ideal","VS1",57,4.37,2.72
"Very Good","VVS1",56,4.64,2.89
"Good","SI1",58,4.6,2.94
"Ideal","VS2",56,4.4,2.71
"Good","VS2",61,4.68,2.83
"Premium","SI1",58,4.7,2.96
"Premium","SI1",58,4.83,2.87
"Premium","SI1",58,4.76,2.93
"Premium","SI1",59,4.76,2.88
"Ideal","VS1",57,4.52,2.75
"Ideal","VS2",57,4.46,2.66
"Ideal","SI2",56,4.44,2.73
"Premium","SI1",60,4.47,2.67
"Premium","VVS2",59,4.38,2.7
"Ideal","VVS2",56,4.42,2.71
"Premium","VS1",58,4.47,2.68
"Ideal","VS1",57,4.39,2.76
"Premium","VS1",58,4.44,2.72
"Ideal","VS1",55,4.41,2.75
"Premium","VS1",58,4.4,2.73
"Premium","VS2",59,4.52,2.69
"Ideal","VS2",55,4.46,2.72
"Premium","VS2",60,4.42,2.71
"Ideal","VS2",57,4.41,2.73
"Ideal","VS2",57,4.4,2.7
"Premium","VS2",59,4.41,2.69
"Premium","VS2",58,4.41,2.73
"Premium","VS2",58,4.4,2.69
"Premium","VS2",60,4.36,2.72
"Very Good","VS2",57,4.35,2.73
"Premium","SI1",56,4.41,2.71
"Premium","SI1",58,4.39,2.72
"Very Good","I1",61,5.04,3.16
"Very Good","SI1",57,4.66,2.95
"Very Good","SI1",57,4.66,2.95
"Very Good","VVS2",56,4.37,2.76
"Ideal","VVS2",55,4.64,2.89
"Ideal","VS1",55,4.68,2.87
"Premium","SI2",59,4.65,2.88
"Ideal","VS1",55,4.39,2.71
"Fair","VS2",55,4.62,2.99
"Very Good","SI1",61,4.82,2.98
"Premium","SI1",58,4.78,2.96
"Good","SI1",56,4.75,3.02
"Ideal","VS1",57,4.75,2.99
"Ideal","SI1",57,4.53,2.74
"Ideal","VS2",57,4.51,2.73
"Premium","VS2",58,4.47,2.72
"Very Good","VS2",56,4.41,2.78
"Ideal","VS2",55,4.46,2.74
"Ideal","VS2",57,4.37,2.75
"Ideal","VS2",57,4.4,2.75
"Ideal","VS2",55,4.4,2.75
"Ideal","VS2",57,4.37,2.74
"Ideal","VS2",56,4.4,2.75
"Ideal","VVS2",55,4.09,2.55
"Good","VVS2",56,4.09,2.59
"Very Good","VVS1",61,4.34,2.64
"Very Good","SI1",57,4.68,2.96
"Ideal","VS1",58,4.59,2.83
"Very Good","VS2",59,4.25,2.69
"Very Good","SI1",57,4.4,2.61
"Ideal","SI1",55,4.12,2.55
"Very Good","SI2",59,4.25,2.66
"Very Good","SI2",62,4.51,2.72
"Very Good","SI1",57,4.25,2.69
"Good","SI2",54,4.46,2.83
"Very Good","SI1",62,4.35,2.62
"Very Good","SI2",61,4.25,2.61
"Very Good","VS1",58,4.26,2.69
"Ideal","VVS2",55,4.88,3.04
"Ideal","VS1",54.2,4.31,2.69
"Premium","VS1",59,4.53,2.83
"Very Good","VS1",56,4.64,2.78
"Very Good","VS1",60,4.56,2.8
"Premium","VS2",58,4.56,2.81
"Very Good","SI2",57,4.71,3.01
"Ideal","SI1",56,4.46,2.79
"Ideal","SI1",54,4.5,2.83
"Premium","VS2",58,4.63,2.8
"Ideal","VS1",57,4.46,2.73
"Ideal","VVS2",54.1,4.31,2.67
"Very Good","SI1",55,4.4,2.77
"Ideal","SI1",55,4.73,2.88
"Premium","VS1",61,4.61,2.8
"Ideal","VS1",57,4.58,2.83
"Ideal","VS2",55,4.61,2.85
"Very Good","SI2",56.2,4.87,2.99
"Very Good","VVS2",56,4.38,2.64
"Very Good","VS1",55,4.89,3.01
"Ideal","VVS1",55,4.48,2.77
"Ideal","VVS1",55,4.44,2.74
"Ideal","VVS2",57,4.41,2.68
"Ideal","VVS2",56,4.34,2.71
"Premium","VVS2",59,4.39,2.7
"Ideal","VS2",57,4.52,2.76
"Premium","VVS2",59,4.37,2.71
"Ideal","VVS2",57,4.41,2.73
"Very Good","VVS2",57,4.36,2.72
"Premium","VVS1",58,4.38,2.7
"Very Good","VVS2",61,4.39,2.68
"Ideal","VVS2",57,4.4,2.74
"Very Good","VVS1",57,4.33,2.74
"Very Good","VVS2",54,4.38,2.75
"Very Good","VVS1",57,4.31,2.61
"Ideal","VVS2",55,4.28,2.7
"Ideal","VS1",55,4.36,2.66
"Ideal","VS1",56,4.34,2.67
"Premium","VS1",59,4.63,2.93
"Good","VS2",59,4.71,2.99
"Very Good","SI1",57,4.32,2.72
"Good","SI2",55,4.75,3.01
"Premium","VVS1",58,4.39,2.66
"Premium","SI1",56,4.4,2.64
"Ideal","SI1",57,4.41,2.68
"Ideal","SI1",55,4.37,2.71
"Ideal","SI1",57,4.38,2.69
"Ideal","SI1",57,4.36,2.69
"Ideal","SI1",53,4.35,2.71
"Ideal","SI1",56,4.34,2.72
"Ideal","SI1",55,4.34,2.73
"Ideal","SI1",57,4.32,2.7
"Good","SI1",54,4.3,2.74
"Very Good","VVS1",56,4.54,2.78
"Ideal","VS1",57,4.37,2.66
"Very Good","SI1",61,4.75,2.81
"Ideal","VVS1",57,4.36,2.65
"Good","VS2",53,4.62,2.96
"Ideal","VS2",56,4.34,2.7
"Ideal","VS2",56,4.29,2.69
"Premium","VS1",58,4.37,2.67
"Premium","VS1",59,4.38,2.64
"Premium","VS1",58,4.3,2.67
"Ideal","VS2",56,4.34,2.72
"Ideal","VS1",57,4.32,2.67
"Ideal","VS2",55,4.33,2.69
"Ideal","VS2",55,4.35,2.67
"Ideal","VS2",57,4.36,2.7
"Ideal","VS2",56,4.37,2.71
"Ideal","VS2",57,4.31,2.69
"Ideal","VS2",55,4.37,2.69
"Ideal","VS2",56,4.34,2.7
"Ideal","VS2",57,4.31,2.71
"Premium","VS2",59,4.31,2.67
"Ideal","SI2",56,4.37,2.64
"Ideal","SI2",57,4.3,2.68
"Good","SI2",56,4.26,2.71
"Very Good","SI1",60,4.35,2.57
"Very Good","SI2",58,4.43,2.79
"Premium","SI2",60,4.32,2.61
"Ideal","VS1",56,4.07,2.55
"Ideal","VS2",55,4.31,2.69
"Ideal","VVS1",56.8,4.34,2.65
"Ideal","IF",55,4.58,2.84
"Good","SI1",58,4.73,3
"Ideal","VS1",59,4.72,2.91
"Ideal","VS1",56,4.39,2.72
"Very Good","VS1",56,4.33,2.71
"Very Good","SI1",54,4.79,3.02
"Premium","VVS2",59,4.29,2.63
"Good","VS1",58,4.68,2.93
"Very Good","VVS1",62,4.33,2.6
"Premium","SI1",59,4.69,2.89
"Ideal","IF",55,4.52,2.83
"Very Good","SI1",57,4.67,2.92
"Good","SI1",57,4.67,2.98
"Premium","SI1",60,4.7,2.94
"Ideal","SI1",57,4.69,2.95
"Very Good","VS2",61,4.81,2.85
"Very Good","SI1",58,4.73,2.95
"Good","VS1",55,4.65,2.98
"Ideal","VS2",55,4.47,2.74
"Ideal","VS1",57,4.46,2.74
"Fair","VVS2",58,4.41,2.9
"Good","SI1",56,4.68,3
"Very Good","VVS2",56,4.46,2.73
"Ideal","VS1",55,4.47,2.76
"Good","SI1",60,4.69,2.69
"Premium","SI1",60,4.78,2.96
"Premium","SI1",58,4.82,2.98
"Very Good","VS2",56,4.67,2.87
"Fair","VVS1",61,4.32,2.74
"Ideal","VVS2",57,4.1,2.52
"Premium","VVS2",59,4.04,2.52
"Ideal","VVS1",57,4.12,2.51
"Very Good","VS2",59,4.55,2.79
"Ideal","VVS2",56,4.4,2.75
"Ideal","SI1",54,4.74,2.96
"Ideal","VVS2",54,4.49,2.75
"Very Good","VVS2",56,4.28,2.68
"Very Good","VS1",58,4.25,2.65
"Ideal","VVS2",54,4.32,2.69
"Ideal","VS2",57,4.74,2.95
"Ideal","VS1",57,4.27,2.69
"Good","IF",63,4.3,2.6
"Fair","VVS2",61,4.19,2.73
"Ideal","VS2",55,4.78,2.95
"Premium","VS2",60,4.45,2.72
"Premium","SI1",58,4.56,2.68
"Ideal","VVS2",56,4.43,2.76
"Premium","VVS2",59,4.47,2.76
"Premium","VVS2",58,4.48,2.74
"Premium","VS1",58,4.55,2.68
"Ideal","VS1",54,4.47,2.75
"Ideal","VS1",56,4.46,2.74
"Premium","VS1",62,4.47,2.68
"Ideal","VS2",55,4.49,2.74
"Premium","VS2",61,4.51,2.67
"Ideal","VS2",56,4.47,2.77
"Premium","VS2",59,4.46,2.73
"Premium","VS2",62,4.46,2.7
"Ideal","VS2",57,4.41,2.75
"Premium","SI1",59,4.47,2.69
"Premium","SI1",60,4.49,2.7
"Ideal","SI1",56,4.43,2.76
"Premium","SI1",60,4.43,2.73
"Very Good","VVS2",56,4.34,2.72
"Ideal","SI1",55,4.55,2.81
"Ideal","SI1",57,4.81,2.92
"Ideal","VS2",57,4.69,2.9
"Ideal","SI1",55,4.62,2.86
"Ideal","VS2",55,4.48,2.79
"Ideal","VS1",56,4.44,2.77
"Ideal","VS2",55,4.43,2.78
"Premium","VS2",58,4.43,2.75
"Premium","VS1",58,4.51,2.73
"Ideal","SI2",54,4.45,2.74
"Very Good","VVS2",56,3.99,2.46
"Very Good","VVS1",56,4.01,2.46
"Ideal","VVS1",56,3.99,2.5
"Very Good","SI2",57,3.87,2.45
"Ideal","VS2",57,4.39,2.74
"Premium","SI2",58,4.39,2.7
"Very Good","VS2",56,4.38,2.77
"Ideal","VS1",55,4.63,2.84
"Ideal","SI1",56,4.63,2.87
"Ideal","VS2",57,4.72,2.88
"Premium","VS2",58,4.63,2.82
"Very Good","VS2",60,4.59,2.82
"Good","VS1",56,4.57,2.89
"Very Good","VS2",58,4.61,2.82
"Premium","VS2",59,4.63,2.78
"Ideal","VVS1",55,4.31,2.67
"Ideal","VS1",56,4.59,2.83
"Good","SI1",54,4.72,3.02
"Ideal","SI1",55,4.55,2.83
"Premium","SI1",58,4.53,2.81
"Very Good","VVS2",56,4.32,2.7
"Ideal","VS2",56,4.39,2.69
"Premium","VS1",61,4.45,2.58
"Ideal","VS2",57,4.41,2.67
"Ideal","VS2",57,4.34,2.68
"Good","VS2",59,4.31,2.73
"Ideal","VS1",56,4.49,2.82
"Ideal","VVS2",55,4.43,2.77
"Ideal","VS1",56,4.73,2.94
"Ideal","VVS2",55,4.3,2.66
"Very Good","VVS1",57,4.6,2.93
"Ideal","VS1",57,4.39,2.66
"Good","VVS1",57,4.1,2.61
"Premium","VVS2",58,4.44,2.72
"Ideal","VVS2",55,4.42,2.74
"Very Good","VVS2",57,4.43,2.72
"Very Good","VVS2",59,4.45,2.72
"Ideal","VVS2",56,4.42,2.74
"Good","VVS2",55,4.25,2.72
"Very Good","VVS2",57,4.39,2.78
"Very Good","VVS1",55,4.57,2.84
"Ideal","VVS1",55,4.27,2.69
"Ideal","VS1",53,4.81,2.98
"Premium","VS2",58,4.75,2.88
"Very Good","VVS2",55,4.34,2.7
"Ideal","VVS2",53.5,4.44,2.76
"Ideal","IF",55,4.65,2.86
"Very Good","SI1",58,4.87,2.95
"Ideal","VS1",55,4.4,2.7
"Ideal","VVS2",54,4.34,2.72
"Ideal","VVS1",61,4.39,2.65
"Very Good","SI1",57,4.73,2.99
"Very Good","SI1",55,4.74,2.98
"Very Good","SI1",59,4.74,2.98
"Good","SI1",57,4.73,3
"Premium","SI1",58,4.76,2.93
"Very Good","SI1",56,4.71,2.97
"Very Good","SI1",56,4.77,2.94
"Very Good","SI1",61,4.78,2.9
"Premium","SI1",60,4.78,2.89
"Ideal","VVS1",55,4.52,2.81
"Good","VS1",64,4.42,2.64
"Ideal","SI1",55,4.47,2.74
"Ideal","SI1",56,4.35,2.73
"Very Good","VS1",56,4.7,2.98
"Ideal","VVS1",55,4.4,2.72
"Premium","VVS1",58,4.38,2.74
"Premium","SI1",58,4.47,2.69
"Premium","SI1",58,4.43,2.66
"Ideal","SI1",54,4.41,2.75
"Ideal","SI1",56,4.42,2.76
"Ideal","SI1",54,4.4,2.75
"Very Good","SI1",56,4.38,2.75
"Ideal","SI1",57,4.37,2.73
"Good","SI1",57,4.81,3.06
"Very Good","SI1",58,4.8,2.96
"Ideal","VS2",54.1,4.66,2.89
"Ideal","VS2",55,4.37,2.71
"Premium","VS2",58,4.65,2.81
"Ideal","VS2",54.1,4.47,2.78
"Ideal","VS2",56,4.37,2.7
"Ideal","VS1",57,4.39,2.72
"Premium","SI2",60,4.38,2.71
"Ideal","VS2",55,4.37,2.74
"Very Good","SI2",57,4.34,2.73
"Very Good","VS2",57,4.33,2.74
"Ideal","SI2",55,4.39,2.76
"Ideal","SI2",56,4.44,2.74
"Ideal","SI2",55,4.44,2.78
"Ideal","VS2",56,4.42,2.71
"Ideal","VS2",56,4.38,2.73
"Ideal","VS2",57,4.37,2.71
"Ideal","VS2",56,4.37,2.69
"Ideal","VS2",57,4.37,2.75
"Ideal","VS1",55,4.46,2.68
"Premium","VS2",58,4.34,2.69
"Ideal","VS2",55,4.37,2.74
"Ideal","VS2",57,4.39,2.74
"Very Good","VVS2",57,4.28,2.68
"Ideal","VS2",55,4.61,2.88
"Ideal","SI1",54,4.77,2.97
"Very Good","VS2",57,4.7,2.84
"Ideal","VVS2",55,4.1,2.58
"Ideal","VVS1",56,4.1,2.57
"Ideal","SI2",56,4.81,2.95
"Ideal","IF",55,4.14,2.57
"Ideal","SI1",56,4.82,3.02
"Ideal","VVS2",57,4.48,2.72
"Ideal","VVS2",56,4.46,2.72
"Ideal","SI1",56,4.89,3.02
"Good","VVS1",62,4.42,2.58
"Very Good","VVS1",62,4.35,2.62
"Premium","VS2",60,4.52,2.73
"Ideal","VS2",54,4.63,2.84
"Good","VVS1",60,4.45,2.58
"Very Good","SI2",61,4.95,2.97
"Ideal","VVS1",57,4.27,2.66
"Ideal","VVS1",57,4.28,2.66
"Ideal","VVS1",56,4.32,2.68
"Ideal","VVS1",54,4.35,2.7
"Ideal","VVS1",57,4.28,2.67
"Ideal","VS2",54.5,4.74,2.94
"Ideal","SI1",58,4.76,2.93
"Ideal","IF",54,4.34,2.71
"Ideal","IF",56,4.32,2.66
"Ideal","IF",57,4.26,2.65
"Very Good","SI2",60,4.9,2.91
"Ideal","VS2",57,4.5,2.78
"Ideal","SI1",56,4.74,2.9
"Ideal","VS2",55,4.55,2.77
"Premium","SI1",57,4.61,2.72
"Premium","VS2",60,4.71,2.93
"Premium","SI2",61,4.74,2.92
"Premium","VVS2",57,4.52,2.76
"Ideal","VS1",57,4.51,2.79
"Ideal","VS1",57,4.46,2.78
"Premium","VS1",60,4.49,2.71
"Ideal","VS2",55,4.53,2.79
"Ideal","VS2",57,4.5,2.74
"Premium","VS2",58,4.53,2.72
"Ideal","VS2",55,4.5,2.79
"Ideal","VS2",57,4.5,2.8
"Premium","VS2",58,4.51,2.76
"Premium","VS2",59,4.47,2.76
"Premium","VS2",62,4.48,2.73
"Premium","SI1",57,4.56,2.74
"Ideal","SI1",57,4.51,2.73
"Very Good","SI1",55,4.49,2.83
"Premium","SI1",59,4.48,2.76
"Ideal","SI1",55,4.47,2.8
"Ideal","VVS2",56,4.36,2.69
"Ideal","VVS2",58,4.29,2.64
"Ideal","VVS2",57,4.29,2.68
"Ideal","VVS2",57,4.29,2.68
"Ideal","VS1",55,4.37,2.7
"Ideal","VS2",56,4.62,2.88
"Premium","VS1",58,4.65,2.88
"Ideal","VVS2",56,4.34,2.69
"Premium","VVS1",58,4.41,2.63
"Very Good","VVS1",58,4.36,2.66
"Ideal","VS1",55,4.58,2.8
"Ideal","VS2",56,4.52,2.79
"Very Good","VS2",59,4.46,2.78
"Ideal","VS2",56,4.51,2.81
"Premium","VS2",62,3.79,2.26
"Ideal","VS2",55,3.86,2.3
"Ideal","VS2",57,3.76,2.33
"Premium","VS2",58,4.28,2.67
"Premium","VS2",59,4.34,2.64
"Fair","VVS2",66,3.87,2.39
"Fair","VS1",58,3.99,2.66
"Very Good","VS1",55,3.94,2.47
"Ideal","SI1",55,4.3,2.69
"Ideal","SI1",57,4.26,2.66
"Ideal","SI1",58,4.31,2.63
"Very Good","SI2",56,4.3,2.71
"Premium","VS2",61,4.53,2.69
"Very Good","VVS1",54,3.98,2.55
"Ideal","SI1",53,4.63,2.89
"Premium","VS1",58,4.54,2.77
"Ideal","VS2",57,4.52,2.83
"Ideal","VVS1",57,4.63,2.81
"Ideal","VS1",53.7,4.63,2.9
"Ideal","VS2",55,4.43,2.74
"Very Good","VVS2",59,4.08,2.56
"Ideal","VVS1",57,4.1,2.52
"Ideal","VVS2",57,4.09,2.54
"Ideal","VVS1",57,4.1,2.52
"Ideal","VVS2",56,4.15,2.54
"Ideal","VVS2",56,4.75,2.93
"Ideal","SI1",56,4.67,2.79
"Premium","SI1",58,4.6,2.81
"Premium","SI1",59,4.54,2.8
"Premium","VS1",59,4.44,2.65
"Ideal","VS1",54,4.8,2.97
"Ideal","VS1",56.2,4.42,2.73
"Very Good","VS1",57,4.48,2.83
"Very Good","VVS1",56,4.44,2.7
"Ideal","VVS1",57,4.37,2.68
"Ideal","VVS1",56,4.34,2.71
"Ideal","IF",56,4.36,2.71
"Very Good","SI1",56,4.53,2.86
"Ideal","SI1",56,4.7,2.93
"Very Good","SI1",61,4.83,2.99
"Premium","SI1",60,4.71,2.9
"Ideal","SI1",57,4.82,3.03
"Ideal","SI1",55,4.74,2.94
"Ideal","VVS1",57,4.55,2.78
"Ideal","VS1",56,4.46,2.7
"Premium","VS2",62,4.48,2.62
"Ideal","VS2",55,4.45,2.74
"Very Good","SI1",55,4.8,3.01
"Ideal","SI1",57,4.81,3.02
"Very Good","VS2",57,4.76,2.97
"Good","SI1",56,4.74,3.03
"Ideal","SI1",55,4.84,2.96
"Ideal","VS1",55,4.83,3
"Very Good","VVS1",55,4.6,2.86
"Ideal","VS1",53,4.36,2.71
"Ideal","SI1",55,4.8,3.01
"Very Good","VS2",56,4.59,2.88
"Ideal","VS1",55,4.35,2.64
"Premium","SI1",59,4.8,2.88
"Ideal","VVS2",56,4.47,2.76
"Premium","VVS2",58,4.44,2.75
"Very Good","VVS2",59,4.47,2.76
"Ideal","VVS1",54,4.46,2.77
"Ideal","VVS1",57,4.73,2.95
"Ideal","VVS2",56,4.55,2.84
"Premium","VS1",59,4.28,2.65
"Ideal","VVS2",57,4.34,2.66
"Premium","VVS2",58,4.35,2.63
"Premium","VVS2",52,4.31,2.67
"Premium","VVS2",58,4.35,2.68
"Premium","VVS2",57,4.31,2.7
"Ideal","VVS2",55,4.28,2.67
"Ideal","VVS2",57,4.25,2.66
"Ideal","VS1",56,4.41,2.63
"Premium","VS1",60,4.33,2.65
"Ideal","VS1",56,4.34,2.67
"Premium","VS1",60,4.32,2.66
"Ideal","VS1",57,4.34,2.65
"Ideal","VS1",55,4.31,2.67
"Premium","VS1",59,4.32,2.66
"Premium","VS1",60,4.29,2.69
"Premium","VS1",55,4.32,2.68
"Ideal","VS1",57,4.29,2.68
"Premium","VS1",60,4.28,2.64
"Premium","VS1",60,4.22,2.64
"Ideal","VS2",56,4.34,2.63
"Premium","VS2",60,4.39,2.65
"Premium","VS2",58,4.33,2.61
"Ideal","VS2",57,4.34,2.62
"Ideal","VS2",57,4.32,2.65
"Premium","SI2",55,4.29,2.68
"Ideal","VS2",55,4.35,2.69
"Ideal","VS2",55,4.38,2.71
"Very Good","VS2",56,4.11,2.56
"Premium","VS1",58,4.18,2.5
"Premium","VS1",58,4.1,2.54
"Very Good","VS2",59,4.14,2.47
"Very Good","VS1",58,4.18,2.5
"Ideal","VS2",57,4.31,2.69
"Ideal","VS2",57,4.29,2.69
"Premium","VS2",60,4.27,2.64
"Fair","VS2",55,4.25,2.77
"Ideal","VVS1",57,4.3,2.67
"Ideal","VS2",54,4.54,2.83
"Ideal","SI1",56,4.65,2.84
"Ideal","VVS2",56,4.43,2.67
"Premium","VVS2",59,4.72,2.84
"Very Good","VVS1",59,4.44,2.62
"Ideal","VVS2",56,4.37,2.69
"Ideal","VS2",55,4.69,2.88
"Ideal","VS1",56,4.3,2.68
"Ideal","VVS2",53,4.41,2.75
"Ideal","VVS2",54.1,4.28,2.69
"Ideal","VVS1",56,4.39,2.72
"Very Good","VS2",58,4.73,2.98
"Ideal","VS1",57,4.42,2.67
"Premium","VVS2",60,4.34,2.54
"Premium","VVS1",61,4.42,2.75
"Ideal","SI1",56,4.46,2.73
"Premium","SI1",60,4.44,2.72
"Ideal","VS2",57,4.46,2.72
"Ideal","VS2",55,4.42,2.72
"Premium","VS2",58,4.46,2.72
"Ideal","VS1",56,4.49,2.69
"Ideal","VS2",56,4.43,2.77
"Ideal","VS2",55,4.41,2.77
"Premium","VS1",59,4.42,2.73
"Ideal","VS1",57,4.5,2.74
"Premium","VS2",58,4.41,2.71
"Ideal","VS1",55,4.53,2.82
"Very Good","VVS1",55,4.32,2.68
"Ideal","IF",54.2,4.38,2.72
"Very Good","VS1",53,4.47,2.8
"Ideal","SI2",55,4.96,3.11
"Very Good","VS2",56,4.73,2.99
"Premium","SI2",58,4.8,2.93
"Ideal","VVS2",57,4.32,2.64
"Good","VVS1",56,4.33,2.75
"Ideal","VVS2",54,4.41,2.75
"Good","VS2",57,4.65,2.96
"Ideal","VVS2",55,4.2,2.64
"Ideal","VVS2",54,4.21,2.64
"Ideal","VS2",53.9,4.66,2.9
"Ideal","IF",53,4.18,2.62
"Ideal","SI2",57,4.84,2.93
"Very Good","IF",58,4.38,2.77
"Good","VS2",57,4.61,2.93
"Very Good","VVS2",56,4.62,2.93
"Very Good","VS1",55,4.8,2.96
"Ideal","SI1",56,4.8,2.95
"Premium","VS1",59,4.5,2.8
"Premium","SI1",60,4.58,2.72
"Premium","SI1",59,4.57,2.76
"Premium","SI1",57,4.52,2.82
"Very Good","VS1",63,4.57,2.77
"Ideal","VVS2",59,4.36,2.69
"Ideal","VVS1",54,4.38,2.72
"Ideal","VVS1",54,4.38,2.72
"Ideal","VVS1",58,4.37,2.64
"Ideal","VVS1",54,4.35,2.7
"Ideal","VVS1",53,4.35,2.71
"Ideal","VVS1",53,4.37,2.74
"Ideal","VS2",53.8,4.66,2.9
"Ideal","IF",56,4.39,2.7
"Ideal","IF",55,4.32,2.7
"Very Good","VS2",60,4.55,2.8
"Ideal","VVS2",57,4.29,2.65
"Ideal","VVS2",57,4.31,2.67
"Very Good","VVS1",59,4.22,2.66
"Ideal","VVS2",55,4.28,2.65
"Very Good","VVS1",57,4.26,2.69
"Premium","VVS1",58,4.34,2.64
"Ideal","VVS1",54,4.31,2.69
"Very Good","VS1",59,4.09,2.49
"Ideal","SI1",54,4.46,2.77
"Premium","SI1",62,4.47,2.59
"Ideal","VS1",56,4.01,2.52
"Ideal","SI2",55,4.5,2.77
"Good","SI2",55,4.45,2.86
"Ideal","VS2",56,4.1,2.56
"Very Good","VVS1",61,4.27,2.66
"Ideal","VVS1",57,4.3,2.66
"Good","VVS1",57,4.24,2.7
"Very Good","VVS1",57,4.27,2.67
"Good","VVS1",58,4.28,2.71
"Premium","VS2",59,4.6,2.75
"Ideal","VS2",56,4.6,2.82
"Good","VVS1",56,4.27,2.72
"Ideal","VVS1",57,4.27,2.67
"Very Good","VVS2",59,4.27,2.66
"Ideal","VVS2",57,4.28,2.66
"Premium","VVS1",59,4.33,2.64
"Premium","VS2",58,4.54,2.82
"Very Good","VS1",59,4.71,2.86
"Ideal","VVS1",58,4.72,2.91
"Ideal","VS2",56,4.51,2.83
"Ideal","SI1",55,4.96,3.05
"Very Good","VS1",56,4.7,2.94
"Ideal","VS2",56,4.31,2.68
"Very Good","VVS2",58,4.41,2.66
"Very Good","VS2",58,4.7,2.97
"Ideal","VVS2",53,4.33,2.71
"Ideal","VVS1",56,4.68,2.89
"Premium","SI1",59,4.67,2.86
"Ideal","SI1",57,4.74,2.98
"Ideal","SI1",57,4.82,2.92
"Ideal","SI1",56,4.77,2.94
"Ideal","SI1",57,4.78,2.92
"Premium","SI1",60,4.77,2.9
"Ideal","VS2",54,4.73,2.96
"Ideal","VS2",55,4.46,2.77
"Premium","SI1",60,4.89,2.96
"Premium","SI1",60,4.84,2.94
"Premium","SI1",60,4.83,2.97
"Very Good","SI1",56,4.8,3.03
"Very Good","VS2",58,4.72,2.89
"Premium","VS1",58.5,4.7,2.96
"Ideal","VVS2",55,4.58,2.83
"Ideal","VVS1",56,4.6,2.85
"Very Good","SI1",56,4.56,2.87
"Premium","VS2",59,4.66,2.83
"Very Good","VS2",57,4.85,3.04
"Ideal","VVS2",54,4.55,2.83
"Ideal","VS1",55,4.32,2.68
"Very Good","SI1",55.3,4.69,2.93
"Ideal","VS2",54,4.64,2.89
"Good","IF",61,4.35,2.57
"Premium","VS1",58,4.52,2.72
"Very Good","SI1",55,4.78,2.99
"Very Good","SI2",57,4.72,2.97
"Good","SI2",57,4.71,2.99
"Premium","SI2",59,4.69,2.94
"Ideal","VVS2",57,4.54,2.78
"Ideal","VVS2",56,4.47,2.79
"Premium","VVS1",60,4.51,2.75
"Very Good","VVS1",60,4.5,2.77
"Ideal","SI1",54,4.85,3
"Premium","VVS1",58,4.2,2.54
"Ideal","VVS2",57,4.13,2.57
"Premium","VVS2",59,4.12,2.55
"Premium","VS1",60,4.39,2.6
"Ideal","VVS2",57,4.42,2.71
"Ideal","VS2",57,4.71,2.91
"Ideal","VS1",55,4.4,2.7
"Premium","VS2",59,4.67,2.84
"Very Good","VS2",57,4.58,2.89
"Very Good","VVS2",55,4.45,2.73
"Ideal","SI1",56,4.59,2.83
"Ideal","VVS1",55,4.37,2.72
"Ideal","VVS2",57,4.46,2.73
"Ideal","VVS1",54,4.4,2.74
"Ideal","VVS1",55,4.33,2.66
"Ideal","VS2",55,4.49,2.79
"Premium","VS2",60,4.42,2.63
"Ideal","VVS2",56,4.37,2.68
"Ideal","SI2",56,4.42,2.72
"Very Good","VS2",56,4.47,2.76
"Ideal","VS1",55,4.3,2.69
"Good","VS1",55,4.28,2.74
"Very Good","VVS1",58,3.97,2.39
"Good","VS1",55,4.15,2.63
"Ideal","VS2",55,4.19,2.58
"Very Good","SI1",56,4.54,2.75
"Premium","VVS2",59,4.38,2.67
"Ideal","VVS2",56,4.37,2.66
"Ideal","VVS2",57,4.36,2.71
"Premium","VVS2",59,4.35,2.7
"Premium","VVS2",60,4.33,2.7
"Premium","VVS2",58,4.31,2.69
"Premium","VS1",60,4.39,2.68
"Ideal","VS1",55,4.35,2.71
"Premium","VS1",59,4.34,2.7
"Premium","VS1",58,4.35,2.69
"Premium","VS1",58,4.34,2.7
"Very Good","VS1",56,4.32,2.72
"Premium","VS1",58,4.3,2.69
"Ideal","VS2",56,4.41,2.67
"Ideal","VS2",55,4.38,2.72
"Ideal","VS2",53,4.39,2.71
"Premium","VS2",58,4.38,2.69
"Ideal","VS2",57,4.36,2.73
"Premium","VS2",55,4.34,2.66
"Premium","VS2",58,4.34,2.7
"Premium","VS2",59,4.33,2.67
"Ideal","VS2",57,4.34,2.65
"Premium","VS2",59,4.34,2.69
"Premium","VS2",59,4.32,2.7
"Ideal","VS2",55,4.39,2.71
"Ideal","VVS1",56,4.39,2.71
"Ideal","VS1",54,4.63,2.84
"Premium","SI1",58,4.8,2.99
"Ideal","SI1",57,4.48,2.78
"Premium","VVS1",59,4.54,2.73
"Ideal","SI1",53,4.53,2.78
"Premium","SI1",61,4.53,2.69
"Ideal","SI1",56,4.48,2.8
"Premium","SI1",59,4.45,2.78
"Premium","SI2",62,4.96,3.05
"Ideal","VS2",54,4.4,2.72
"Ideal","VVS2",56,4.35,2.67
"Premium","VS2",58,4.47,2.75
"Ideal","VS1",56,4.38,2.68
"Ideal","VS2",54.2,4.66,2.89
"Ideal","VS1",55,4.44,2.78
"Ideal","VS1",56,4.48,2.79
"Ideal","VS1",56,4.47,2.78
